method,horizon,mse,mse_ci_low,mse_ci_high,mae,mae_ci_low,mae_ci_high,direction_accuracy,direction_ci_low,direction_ci_high,n_stocks,n_runs
Drift,1,0.0004233168429410867,0.00012232942605871667,0.0007039232811759836,0.01559460722114237,0.007629482020427895,0.022763393929620335,,,,3,9
Drift,2,0.00143221501696694,0.0003373809742582968,0.0021805282573340037,0.026557584129796735,0.01343360015093103,0.03376929137218546,0.5263157894736842,0.4473684210526316,0.631578947368421,3,9
Drift,3,0.0018187123266311632,0.0004790133370913461,0.002888475751330942,0.03187564657715133,0.016243839667080647,0.04208842310809383,0.49122807017543857,0.47368421052631576,0.5263157894736842,3,9
Drift,4,0.002674130079525067,0.0005614318722112699,0.004788259143127208,0.03766749245563946,0.01852229837401721,0.052751858118235274,0.5789473684210525,0.5263157894736842,0.631578947368421,3,9
Drift,5,0.0031187285097444874,0.0007554987205343424,0.00572992078075973,0.040861718834524864,0.02070117442819631,0.05806565218556084,0.5614035087719298,0.5263157894736842,0.6052631578947368,3,9
GRU,1,0.0009999601273386165,0.0002115490419618368,0.0015809421647121232,0.023362136631114788,0.010540617221410852,0.031947780792650426,,,,3,9
GRU,2,0.00204289114949607,0.000425386525461414,0.003004826624821286,0.0339733840712504,0.01594769645874437,0.04492360119822255,0.5263157894736842,0.5,0.5526315789473685,3,9
GRU,3,0.002671752602256553,0.0005107301713115495,0.003949702311379936,0.03857383759398209,0.018968564883005187,0.04987851069553903,0.5058479532163743,0.49122807017543857,0.5175438596491229,3,9
GRU,4,0.003653390935077863,0.0006609071923418497,0.005290192133360666,0.04645224370073243,0.022138525388742728,0.05868150627959454,0.5,0.4473684210526316,0.587719298245614,3,9
GRU,5,0.003824261402568209,0.0008666446103662713,0.005543759560739756,0.04776205215603113,0.02486497227494652,0.06099209594621993,0.49415204678362573,0.46491228070175444,0.5263157894736842,3,9
Local-MAE/Long-JEPA,1,0.001087918361975998,0.00031459964076310755,0.0018039862579202488,0.024403015102602926,0.013760528257606828,0.031923219202119005,,,,3,9
Local-MAE/Long-JEPA,2,0.002801167412555554,0.0004608195512602938,0.005563038156436482,0.03668788616608131,0.01630812890321146,0.05406704104072496,0.5087719298245613,0.3947368421052631,0.5789473684210527,3,9
Local-MAE/Long-JEPA,3,0.003843271836930276,0.0006272821404294576,0.00706450150041039,0.04274297671662153,0.019625396261465516,0.059422894936512434,0.4590643274853801,0.4385964912280702,0.47368421052631576,3,9
Local-MAE/Long-JEPA,4,0.0043030074846609,0.0007205470472854761,0.00728388837137938,0.047413815549174475,0.021371689048113707,0.06518666279551229,0.5233918128654971,0.5,0.5350877192982456,3,9
Local-MAE/Long-JEPA,5,0.00456536588314172,0.0007204097129161294,0.00822486455899409,0.049237210065268024,0.022423247447270034,0.06958089643076325,0.49415204678362573,0.48245614035087714,0.5087719298245613,3,9
Mean-context,1,0.018836090885600985,0.001031177511651319,0.031220337054276934,0.10013053317686027,0.026321677556935402,0.15213585348407688,,,,3,9
Mean-context,2,0.0184759994291996,0.0010613518513202707,0.03115033622469778,0.09917823281042122,0.026878758166659317,0.15296170407121903,0.008771929824561403,0.0,0.02631578947368421,3,9
Mean-context,3,0.01984600782716144,0.001108806665555317,0.032778302792506125,0.10154068772093873,0.027149250845755677,0.15428088348064767,0.0,0.0,0.0,3,9
Mean-context,4,0.021983593412545164,0.0014508221938688613,0.035412464234937206,0.1072460947573091,0.03186688671887263,0.15991222792256035,0.0,0.0,0.0,3,9
Mean-context,5,0.0230321002259013,0.0014071108030283338,0.03830935091075482,0.11097573067226013,0.030673798876753255,0.16883610828632586,0.0,0.0,0.0,3,9
Naive-last,1,0.0004066229192170579,0.00011718502260162993,0.0006867733604258621,0.014928324703584633,0.007604962901065209,0.02201810636018452,,,,3,9
Naive-last,2,0.001320313303444863,0.0003228916316538813,0.002024517513549396,0.025960753884231826,0.013075806592640115,0.0336345496930574,0.008771929824561403,0.0,0.02631578947368421,3,9
Naive-last,3,0.0017259102409379213,0.00043827719200528677,0.0027140890011291443,0.031847705966547915,0.015904029733256282,0.042033468422136816,0.0,0.0,0.0,3,9
Naive-last,4,0.002563570105827875,0.0004956477892356381,0.004468293582618331,0.0378369176596926,0.017605361185575784,0.05204915529803226,0.0,0.0,0.0,3,9
Naive-last,5,0.00297917197158367,0.0006641931678746521,0.005431623111505245,0.04028423052085073,0.020324057654330596,0.05635198166495875,0.0,0.0,0.0,3,9
Shared-target JEPA--MAE,1,0.000996464186665478,0.00015641842822142034,0.001797199807890141,0.02276848879375914,0.009364923960610953,0.03271648830227684,,,,3,9
Shared-target JEPA--MAE,2,0.0031074317734036436,0.0005103049907300779,0.006988424429587141,0.0366642190094449,0.017041496295285844,0.05820331847491234,0.5263157894736842,0.46491228070175433,0.6140350877192983,3,9
Shared-target JEPA--MAE,3,0.0038201215345982855,0.0005346173882857483,0.007886704057571083,0.042280557297159266,0.01776158158961487,0.06482675292512827,0.45906432748538006,0.41228070175438597,0.49122807017543857,3,9
Shared-target JEPA--MAE,4,0.0039002416081277587,0.0005663658677942572,0.007386315548436161,0.046489747217992504,0.019576358584392998,0.06835264268151502,0.4766081871345029,0.41228070175438597,0.5877192982456141,3,9
Shared-target JEPA--MAE,5,0.004370877018400627,0.0010496671924831644,0.00846364390454542,0.04987213970298132,0.027155576804816173,0.071833785623312,0.5292397660818713,0.47368421052631576,0.587719298245614,3,9
